transid,transdate,cst_dim_id,monthly_os_changes,monthly_phone_model_changes,last_phone_model_categorical,last_os_categorical,logins_last_7_days,logins_last_30_days,login_frequency_7d,login_frequency_30d,freq_change_7d_vs_mean,logins_7d_over_30d_ratio,avg_login_interval_30d,std_login_interval_30d,var_login_interval_30d,ewm_login_interval_7d,burstiness_login_interval,fano_factor_login_interval,zscore_avg_login_interval_7d
f57bb513-8bf3-42a4-a2d0-6f18bdf169d8,2025-03-05 00:00:00.000',453024373,2,2,Vivo V2116,Android/13,6,20,0.8571428571,0.6666666667,0.2857142857,0.3,131460,213919.4783,45761543200,23007.16441,0.2387503702,348102.4129,-0.2210738376
38db5b62-0614-4311-b2fc-884d1ee30245,2025-05-19 00:00:00.000',498636442,1,1,Xiaomi_m2006c3mg,Android/10,2,22,0.2857142857,0.7333333333,-0.6103896104,0.09090909091,101520,82733.72644,6844869491,178980,-0.101958717,67423.85235,0.9362566311
0e9775ff-2340-47c2-8d68-0fff3d1b32de,2025-08-04 00:00:00.000',2934905461,1,1,"iPhone16,1",iOS/18.5,2,2,0.2857142857,0.06666666667,3.285714286,1,67800,-1,-1,67800,-1,-1,-1
1b780f18-b944-49b1-a719-ec992fb33e2a,2025-03-05 00:00:00.000',456173125,1,2,Vivo V2058,Android/13,5,37,0.7142857143,1.233333333,-0.4208494208,0.1351351351,61394.59459,76777.3214,5894757081,9400.733945,0.111330343,96014.26836,-0.5087386989
37c79823-47b4-431f-a234-f30d4897025a,2025-06-26 00:00:00.000',2933725046,1,1,"iPhone12,1",iOS/17.6.1,37,119,5.285714286,3.966666667,0.3325330132,0.3109243697,22751.5,33089.10168,1094888650,18828.50449,0.1851269751,48123.80062,-0.2316926
9aa8e966-c99a-4a54-8fa5-10ac28dfd22b,2025-05-19 00:00:00.000',452718092,4,2,Xiaomi_poco_f2_pro,Android/12,29,109,4.142857143,3.633333333,0.1402359109,0.2660550459,21516.99248,30261.84702,915779384.8,14783.05447,0.1688885773,42560.75219,-0.1021274051
58bd2c80-f861-4e95-8cf3-d9571ca15f4c,2025-08-04 00:00:00.000',454061799,1,2,Samsung SM-A556E,Android/15,4,21,0.5714285714,0.7,-0.1836734694,0.1904761905,102855,160307.3205,25698437005,278211.3669,0.2183151463,249851.1206,0.1774404307
d45f489d-694c-419d-b28b-59ef2b02832b,2025-06-26 00:00:00.000',465356982,1,1,OPPO CPH2477,Android/12,0,24,0,0.8,-1,0,63817.77778,118064.0892,13939129149,-1,0.298250245,218420.7855,-1
d0f58a8d-5b3f-4652-9ac5-16e58493e4d6,2025-03-05 00:00:00.000',2938000220,2,3,Samsung SM-S928B,Android/14,14,36,2,1.02,0.6666666667,0.3888888889,77395.13514,80874.18547,6540633876,110727.7646,0.02198183655,84509.62537,-0.4601989107
eb78af81-6d10-48d4-919b-9bdd464ad864,2025-03-05 00:00:00.000',499704441,1,2,Samsung SM-A105F,Android/11,28,67,4,2.233333333,0.7910447761,0.4179104478,39637.2973,87633.35659,7679605187,7374.287626,0.377118038,193746.9432,-0.287784475
