transdate,cst_dim_id,monthly_os_changes,monthly_phone_model_changes,last_phone_model_categorical,last_os_categorical,logins_last_7_days,logins_last_30_days,login_frequency_7d,login_frequency_30d,freq_change_7d_vs_mean,logins_7d_over_30d_ratio,avg_login_interval_30d,std_login_interval_30d,var_login_interval_30d,ewm_login_interval_7d,burstiness_login_interval,fano_factor_login_interval,zscore_avg_login_interval_7d
2025-03-05 00:00:00.000',453024373,2,2,Vivo V2116,Android/13,6,20,0.8571428571,0.6666666667,0.2857142857,0.3,131460,213919.4783,45761543200,23007.16441,0.2387503702,348102.4129,-0.2210738376
2025-05-19 00:00:00.000',498636442,1,1,Xiaomi_m2006c3mg,Android/10,2,22,0.2857142857,0.7333333333,-0.6103896104,0.09090909091,101520,82733.72644,6844869491,178980,-0.101958717,67423.85235,0.9362566311
2025-08-04 00:00:00.000',2934905461,1,1,"iPhone16,1",iOS/18.5,2,2,0.2857142857,0.06666666667,3.285714286,1,67800,-1,-1,67800,-1,-1,-1
2025-03-05 00:00:00.000',456173125,1,2,Vivo V2058,Android/13,5,37,0.7142857143,1.233333333,-0.4208494208,0.1351351351,61394.59459,76777.3214,5894757081,9400.733945,0.111330343,96014.26836,-0.5087386989
2025-06-26 00:00:00.000',2933725046,1,1,"iPhone12,1",iOS/17.6.1,37,119,5.285714286,3.966666667,0.3325330132,0.3109243697,22751.5,33089.10168,1094888650,18828.50449,0.1851269751,48123.80062,-0.2316926
2025-05-19 00:00:00.000',452718092,4,2,Xiaomi_poco_f2_pro,Android/12,29,109,4.142857143,3.633333333,0.1402359109,0.2660550459,21516.99248,30261.84702,915779384.8,14783.05447,0.1688885773,42560.75219,-0.1021274051
2025-08-04 00:00:00.000',454061799,1,2,Samsung SM-A556E,Android/15,4,21,0.5714285714,0.7,-0.1836734694,0.1904761905,102855,160307.3205,25698437005,278211.3669,0.2183151463,249851.1206,0.1774404307
2025-06-26 00:00:00.000',465356982,1,1,OPPO CPH2477,Android/12,0,24,0,0.8,-1,0,63817.77778,118064.0892,13939129149,-1,0.298250245,218420.7855,-1
2025-03-05 00:00:00.000',2938000220,2,3,Samsung SM-S928B,Android/14,14,36,2,1.02,0.6666666667,0.3888888889,77395.13514,80874.18547,6540633876,110727.7646,0.02198183655,84509.62537,-0.4601989107
2025-03-05 00:00:00.000',499704441,1,2,Samsung SM-A105F,Android/11,28,67,4,2.233333333,0.7910447761,0.4179104478,39637.2973,87633.35659,7679605187,7374.287626,0.377118038,193746.9432,-0.287784475
2025-08-04 00:00:00.000',2096229005,1,1,Samsung_sm-s918b,Android/14,6,77,0.8571428571,2.566666667,-0.6660482375,0.07792207792,27713.07692,61067.3716,3729223874,36745.56873,0.3756941447,134565.4935,1.36228105
2025-08-20 00:00:00.000',2684371840,1,1,"iPhone15,4",iOS/18.5,12,32,1.714285714,1.066666667,0.6071428571,0.375,84067.05882,169078.9766,28587700312,20254.98854,0.3358216438,340058.2905,-0.1907326249
2025-03-05 00:00:00.000',452718092,1,1,Xiaomi_poco_f2_pro,Android/12,18,83,2.571428571,2.766666667,-0.07056798623,0.2168674699,29538.5567,36110.21707,1303947777,6498.335429,0.1001033225,44143.92315,0.0392662798
2025-05-19 00:00:00.000',454726005,1,1,Huawei_vog-l29,Android/10,0,21,0,0.7,-1,0,88407,126775.5463,16072039127,-1,0.1783069627,181796.0018,-1
2025-03-05 00:00:00.000',450912073,2,2,Xiaomi M2006C3LG,Android/11,46,73,6.571428571,2.433333333,1.700587084,0.6301369863,35968.83117,59375.10292,3525402847,7918.558835,0.2454930351,98012.71636,-0.4006757602
2025-08-04 00:00:00.000',2934295459,1,1,"iPhone17,1",iOS/26.0,4,4,0.5714285714,0.1333333333,3.285714286,1,15760,12822.2307,164409600,7243.165468,-0.102783066,10432.08122,0
2025-03-05 00:00:00.000',2938439602,1,1,implyForteApp 1.0 Samsung_sm-a125,Android/5.10.0,0,1,0,0.03333333333,-1,0,326175,650470.1298,"4,23E+11",-1,0.3320501172,1297191.353,-1
2025-08-04 00:00:00.000',452195675,2,2,Samsung_sm-s928b,Android/15,0,27,0,0.9,-1,0,61005.45455,66070.39433,4365297007,-1,0.03985761125,71555.84758,-1
2025-02-12 00:00:00.000',2095336822,2,2,"iPhone13,1",iOS/18.1.1,14,20,2,0.6666666667,2,0.7,130715.4545,324139.3942,105066346855,13021.17155,0.4252432181,803779.0728,-0.3147460945
2025-03-05 00:00:00.000',2112686417,2,2,Oppo_cph2531,Android/15,5,15,0.7142857143,0.5,0.4285714286,0.3333333333,150083.3333,200165.509,40066230976,87515.99153,0.1429902674,266959.8955,-0.3906184124
2025-05-19 00:00:00.000',451004861,1,1,Oppo_cph2481,Android/14,8,38,1.142857143,1.266666667,-0.0977443609,0.2105263158,72930,87518.31076,7659454719,46469.00503,0.09092218356,105024.7459,0.01131191852
