cst_dim_id,transdate,transdatetime,amount,docno,direction,target
2937833270,2025-01-05 00:00:00.000',2025-01-05 16:32:02.000',31000,5343,8406e407421ec28bd5f445793ef64fd1,0
2096229005,2025-03-04 00:00:00.000',2025-03-04 17:41:57.000',4000,8442,b3a3d4a6006293195d998957d4f01e42,0
2937759666,2025-06-20 00:00:00.000',2025-06-20 10:08:07.000',3000,9540,22b84292f0ebce65ad0808342615a03b,0
2933493153,2025-07-06 00:00:00.000',2025-07-06 14:52:13.000',500,11685,d677d4e1a0f625e1ad746ea950c9dca9,0
456000634,2024-12-18 00:00:00.000',2024-12-18 14:12:25.000',20000,7128,87b698d1edae13c21ce86678de3b8546,0
456175450,2025-08-02 00:00:00.000',2025-08-02 14:27:41.000',18000,11883,ba51c27740a3fa59e298274df7380ef2,0
2937698824,2025-02-11 00:00:00.000',2025-02-11 21:03:45.000',27880,4262,df9a3b9f0e23b5187cb5c867619be00d,0
2935544871,2025-02-05 00:00:00.000',2025-02-05 22:46:22.000',750,11252,264056829227ea7fbaf46fad95ca6ed6,0
2937607295,2025-01-21 00:00:00.000',2025-01-21 13:43:18.000',1000,1322,45a3449f6dc285f6c7c5d4a2dc1fdcbb,0
2938774348,2025-03-30 00:00:00.000',2025-03-30 21:14:54.000',7000,7602,827fb586666a9e0ac752ea4218cb9975,0
2935588230,2025-02-22 00:00:00.000',2025-02-22 09:57:59.000',3000,12036,f0d722fe560b8d757294b6eb9a17739b,0
2112406217,2025-07-02 00:00:00.000',2025-07-02 10:11:43.000',2100,5708,570ffa383ca2ab5a2917f63b93a2028c,0
456064118,2025-03-25 00:00:00.000',2025-03-25 11:47:25.000',1500,11958,dadb8057d800959fbd62aa66e33e2cbb,0
2935588230,2025-02-11 00:00:00.000',2025-02-11 19:35:29.000',8000,2156,f0d722fe560b8d757294b6eb9a17739b,0
465356982,2025-01-12 00:00:00.000',2025-01-12 15:58:10.000',3000,9965,9030efc541153c7eb82a2280c59cda34,0
2933493153,2025-04-12 00:00:00.000',2025-04-12 18:21:05.000',2000,10093,d677d4e1a0f625e1ad746ea950c9dca9,0
452154710,2025-04-22 00:00:00.000',2025-04-22 13:24:38.000',1800,10137,c2082f252fbcbf42f0f876f183207314,0
2938063812,2024-12-21 00:00:00.000',2024-12-21 19:27:04.000',100000,10527,d292c2df4f2fa352578fdc6ad1aee458,0
2937607295,2025-02-11 00:00:00.000',2025-02-11 22:31:16.000',12000,12386,57aecc7efc126cb5aa67cfa4bde43cb9,0
456591642,2025-02-11 00:00:00.000',2025-02-11 15:02:35.000',45000,9158,59fb538d5c6a9b5853b5787a29c02102,0
2112800905,2025-02-17 00:00:00.000',2025-02-17 15:32:05.000',5000,12260,58c024783fc1bd4d7b14e3b4dd2221c3,0
497566784,2025-06-20 00:00:00.000',2025-06-20 16:16:39.000',33625,12638,4e2937106cfbc9ebe27a335e05da57ad,0
2937778211,2025-02-04 00:00:00.000',2025-02-04 16:13:05.000',20000,374,b49b59c3f532de501500eb6ac7a1ffb5,0
452966691,2025-01-05 00:00:00.000',2025-01-05 14:10:16.000',4000,1052,7e3830bca9829bf5050092686bc822f4,0
2935588230,2024-12-09 00:00:00.000',2024-12-09 19:16:12.000',190000,6248,f0d722fe560b8d757294b6eb9a17739b,0
454061799,2025-08-27 00:00:00.000',2025-08-27 09:54:37.000',1000,8719,da9e3968c1674324b56aa98463fd4b10,0
452966691,2025-05-05 00:00:00.000',2025-05-05 01:36:20.000',20000,3513,c4ea468194fa3162a9e67d10a761d7bb,0
2937630576,2025-05-02 00:00:00.000',2025-05-02 20:48:44.000',1000,4746,142fb99b4b6a17e93c69436463fe45bb,0
2937755639,2025-05-28 00:00:00.000',2025-05-28 11:38:24.000',5500,5932,a3837d17a8a0a577a1285c5ddf19ad62,0
456355739,2025-06-26 00:00:00.000',2025-06-26 09:40:20.000',10000,6460,5474be9abe881a40790bdaa1d324f43b,0
456064118,2025-03-25 00:00:00.000',2025-03-25 09:28:42.000',3000,6935,dadb8057d800959fbd62aa66e33e2cbb,0
452518788,2025-01-25 00:00:00.000',2025-01-25 11:47:45.000',90000,9975,7d3fbd4cb8e16a0660c28187bc53fda8,0
456575558,2025-01-17 00:00:00.000',2025-01-17 10:12:06.000',4000,11115,881634846ca132371fed390271a7b096,0
